TO_Time_UTC, jNO2_up, jNO2_down, jNO2_total, NO_ppbv, NO2_ppbv, NOy_ppbv, O3_ppbv, NOx_ppbv, Ox_ppbv, CO2_ppm, CO2_i_ppm, CH4_ppb, CH4_i_ppb, CO_ppb, CO_i_ppb, H2O_pct, H2O_i_pct, AmbTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd, Heading, Pitch, Roll, TrueAirSpd, GPSAlt, GPSLat, GPSLon
56066,,,,,,,,,,,462.29,,1975.0,337.0,337.0,,1.237,,,,,,,,,,,,,
56067,,,,,,,,,,461.95,461.94,1974.6,1974.8,,335.6,1.237,1.237,,,,,,,,,,,,,
56068,,,,,,,,,,,461.54,,1974.2,333.5,334.1,,1.236,,,,,,,,,,,,,
56069,,,,,,,,,,461.01,461.14,,1973.5,,333.6,1.235,1.235,,,,,,,,,,,,,
56070,,,,,,,,,,,461.42,1972.8,1973.0,,333.8,,1.235,,,,,,,,,,,,,
56071,,,,,,,,,,,462.02,,1974.4,333.9,335.6,1.236,1.236,,,,,,,,,,,,,
56072,,,,,,,,,,462.4,462.48,1976.1,1975.8,,341.8,,1.237,,,,,,,,,,,,,
56073,,,,,,,,,,,462.7,,1975.8,348.2,348.1,,1.239,31.7,0.0,999.68,,,,230.0,-2.1,0.0,40.8,30.0,38.561,-121.291
56074,,,,,,,,,,462.91,462.87,1975.3,1975.5,,344.9,1.24,1.24,,,,,,,,,,,,,
56075,,,,,,,,,,,462.45,,1975.0,340.4,341.6,,1.241,31.53,0.0,998.76,,,,231.2,-1.8,-0.3,44.0,30.0,38.561,-121.291
56076,,,,,,,,,,461.91,462.02,,1974.5,,337.0,1.241,1.241,31.39,0.0,997.78,,,,229.9,-1.9,-0.5,46.5,30.0,38.561,-121.291
56077,,,,,,,,,,,461.41,1974.1,1973.9,,331.8,,1.238,31.25,0.0,996.98,,,,230.8,-1.8,-0.3,49.2,30.0,38.561,-121.292
56078,,,,,,,,,,,460.73,,1973.1,328.2,326.9,1.234,1.235,31.05,0.0,995.44,,,,231.9,-1.8,-0.3,53.2,30.0,38.56,-121.292
56079,,,,,,,,,,460.31,460.36,1972.2,1972.3,,322.6,,1.233,30.78,0.0,993.44,,,,231.7,-2.2,-0.5,57.8,30.0,38.56,-121.292
56080,,,,,,,,,,,460.49,,1972.7,318.2,318.3,,1.232,30.57,0.0,990.88,,,,231.6,-2.4,-0.5,62.8,29.0,38.56,-121.293
56081,,,,,,,,,,460.62,460.58,1973.5,1973.2,,315.3,1.232,1.231,30.45,0.0,990.08,,,,231.6,-2.3,-0.1,64.7,29.0,38.56,-121.293
56082,,,,,,,,,,,459.62,,1973.0,311.3,312.4,,1.229,30.25,0.0,988.7,,,,231.5,-2.7,0.0,68.0,29.0,38.56,-121.293
56083,,,,,,,,,,458.4,458.65,,1972.1,,309.7,1.226,1.226,29.98,0.0,986.74,,,,232.0,-2.7,-0.1,72.0,29.0,38.559,-121.294
56084,,,,,,,,,,,458.67,1971.3,1971.3,,307.0,,1.225,29.86,0.0,985.42,,,,231.4,0.1,-0.3,73.9,29.0,38.559,-121.294
56085,,,,,,,,,,,459.04,,1971.4,305.2,304.8,1.225,1.225,29.92,0.0,986.94,,,,232.4,0.8,-0.3,73.2,29.0,38.559,-121.295
56086,,,,,,,,,,459.26,458.88,1971.5,1971.5,,303.4,,1.224,29.6,0.0,983.58,,,,231.5,2.3,0.5,78.1,29.0,38.559,-121.295
56087,,,,,,,,,,,457.98,,1971.0,302.1,302.0,,1.224,29.61,0.0,983.6,,,,232.0,2.9,1.0,79.9,29.0,38.558,-121.296
56088,,,,,,,,,,457.17,457.03,1970.2,1970.4,,296.3,1.223,1.222,29.43,0.0,981.58,,,,231.5,2.8,0.0,82.7,30.0,38.558,-121.296
56089,,,,,,,,,,,455.57,,1969.6,288.6,290.5,,1.217,29.03,0.0,977.84,,,,230.4,3.5,0.3,87.6,32.0,38.558,-121.296
56090,,,,,,,,,,453.74,454.11,,1968.7,,281.5,1.212,1.212,28.93,0.0,976.84,,,,231.3,3.8,1.8,88.7,34.0,38.558,-121.297
56091,,,,,,,,,,,453.32,1968.0,1968.1,,270.9,,1.209,28.88,0.0,977.14,,,,231.1,2.5,0.0,88.6,36.0,38.557,-121.297
56092,,,,,,,,,,,452.76,,1968.4,263.9,267.7,1.204,1.206,28.6,0.0,973.62,,,,230.5,5.3,0.4,91.9,38.0,38.557,-121.298
56093,,,,,,,,,,452.44,452.77,1968.7,1968.7,,279.1,,1.207,28.78,0.0,975.38,,,,231.1,6.3,0.4,90.1,42.0,38.557,-121.298
56094,,,,,,,,,,,453.58,,1968.8,290.4,290.4,,1.212,28.68,0.0,974.24,,,,231.3,6.5,0.7,90.9,47.0,38.556,-121.299
56095,,,,,,,,,,454.32,454.26,1969.0,1968.9,,292.6,1.215,1.215,28.43,0.0,971.4,,,,231.0,6.8,-0.2,93.0,53.0,38.556,-121.299
56096,,,,,,,,,,,453.53,,1968.7,295.6,294.8,,1.215,28.6,0.0,973.16,,,,231.5,6.4,0.6,91.0,60.0,38.556,-121.3
56097,,,,,,,,,,452.61,452.81,,1968.1,,293.2,1.215,1.215,28.59,0.0,972.7,,,,232.1,7.4,1.8,90.2,66.0,38.556,-121.3
56098,,,,,,,,,,,452.73,1967.6,1967.4,,289.5,,1.214,28.7,0.0,973.74,,,,231.7,8.0,0.7,88.5,73.0,38.555,-121.301
56099,,,,,,,,,,,452.9,,1966.4,287.0,286.5,1.214,1.214,28.38,0.0,969.4,,,,231.2,8.5,1.3,92.3,80.0,38.555,-121.301
56100,,,,,,,,,,452.99,452.95,1965.4,1965.5,,285.0,,1.214,28.46,0.0,969.2,,,,231.2,8.1,0.0,91.7,88.0,38.555,-121.302
56101,,,,,,,,,,,452.84,,1964.8,283.5,282.9,,1.213,28.76,0.0,971.4,,,,231.6,9.1,0.6,87.6,96.0,38.554,-121.302
56102,,,,,,,,,,452.74,452.51,1963.8,1964.1,,270.9,1.213,1.21,28.77,0.0,969.48,,,,230.8,9.2,1.2,89.3,104.0,38.554,-121.303
56103,,,,,,,,,,,450.57,,1962.3,254.8,258.8,,1.204,28.71,0.0,966.52,,,,230.0,9.2,1.1,90.8,112.0,38.554,-121.303
56104,,,,,,,,,,448.11,448.63,,1959.7,,252.0,1.197,1.197,28.78,0.0,965.2,,,,229.9,9.8,1.2,91.4,121.0,38.553,-121.304
56105,,,,,,,,,,,446.96,1957.7,1960.3,,247.9,,1.195,28.93,0.0,964.7,,,,229.9,9.8,1.0,90.8,129.0,38.553,-121.304
56106,,,,,,,,,,,445.39,,1972.4,245.2,233.0,1.194,1.194,29.06,0.0,965.24,,,,230.6,9.5,2.1,89.8,138.0,38.553,-121.305
56107,,,,,,,,,,444.47,443.83,1985.9,1984.5,,196.0,,1.18,29.45,0.0,966.66,,,,232.3,9.1,3.5,87.0,147.0,38.553,-121.305
56108,,,,,,,,,,,442.31,,2006.2,158.7,158.9,,1.159,29.54,0.0,965.98,,,,232.1,9.5,1.8,86.5,156.0,38.552,-121.306
56109,,,,,,,,,,440.92,440.82,2039.1,2028.9,,156.0,1.145,1.143,29.51,0.0,963.92,,,,232.3,9.3,3.1,87.7,164.0,38.552,-121.306
56110,,,,,,,,,,,439.6,,2015.6,152.4,153.3,,1.138,29.67,0.0,964.7,,,,233.5,9.4,2.6,85.8,172.0,38.552,-121.307
56111,,,,,,,,,,438.05,438.39,,1972.9,,151.3,1.132,1.133,29.59,0.0,962.7,,,,232.8,9.4,1.0,86.9,180.0,38.551,-121.307
56112,,,,,,,,,,,437.4,1938.7,1940.1,,149.7,,1.129,29.52,0.0,961.24,,,,232.5,9.1,0.6,87.6,188.0,38.551,-121.308
56113,,,,,,,,,,,436.49,,1947.4,148.5,148.8,1.123,1.124,29.53,0.0,960.38,,,,232.4,8.4,0.4,87.1,196.0,38.551,-121.308
56114,,,,,,,,,,435.91,435.89,1955.9,1954.7,,149.8,,1.124,29.51,0.0,959.22,,,,231.9,8.4,-0.1,87.5,203.0,38.551,-121.309
56115,,,,,,,,,,,435.83,,2003.4,150.8,150.8,,1.126,29.48,0.0,958.64,,,,231.7,8.1,-0.2,87.6,209.0,38.55,-121.309
56116,,,,,,,,,,435.76,435.77,,2059.7,,156.1,1.128,1.13,29.48,0.0,958.12,,,,231.5,7.8,-0.3,87.6,215.0,38.55,-121.31
56117,,,,,,,,,,,436.41,2089.6,2096.4,164.3,161.8,,1.138,29.45,0.0,957.16,,,,231.1,7.3,-0.5,88.0,220.0,38.55,-121.31
56118,,,,,,,,,,437.31,437.06,,2110.8,,165.2,1.147,1.145,29.39,0.0,956.08,,,,230.3,6.6,1.2,88.9,224.0,38.55,-121.311
56119,,,,,,,,,,,436.94,2124.1,2123.7,,167.0,,1.151,29.21,0.0,953.78,,,,229.7,6.4,6.0,91.0,227.0,38.549,-121.311
56120,,,,,,,,,,,436.34,,2118.2,168.4,168.3,,1.155,29.2,0.0,953.74,,,,229.7,6.0,7.6,91.2,229.0,38.549,-121.312
56121,,,,,,,,,,435.89,435.79,2111.2,2112.7,,167.9,1.158,1.16,29.02,0.0,951.94,,,,230.9,5.4,10.0,93.5,230.0,38.549,-121.312
56122,,,,,,,,,,,435.39,,2109.9,167.4,167.4,,1.165,29.01,0.0,951.98,,,,232.3,5.5,9.7,93.7,231.0,38.548,-121.313
56123,,,,,,,,,,434.97,435.0,,2108.2,,167.6,1.169,1.17,28.96,0.0,951.72,,,,234.0,6.5,9.7,94.3,231.0,38.548,-121.313
56124,,,,,,,,,,,434.24,2107.2,2108.1,168.0,167.9,,1.171,28.79,0.0,950.34,,,,235.3,6.2,10.0,96.5,232.0,38.548,-121.314
56125,,,,,,,,,,433.16,433.46,,2110.2,,167.2,1.173,1.173,28.65,0.0,948.42,,,,236.7,6.2,10.3,98.1,234.0,38.548,-121.314
56126,,,,,,,,,,,432.91,2112.2,2112.4,,165.7,,1.173,28.61,0.0,948.04,,,,238.2,6.6,10.4,98.5,236.0,38.547,-121.315
56127,,,,,,,,,,,432.5,,2114.8,164.5,164.5,1.172,1.172,28.52,0.0,947.0,,,,240.1,7.1,10.7,99.5,238.0,38.547,-121.316
56128,,,,,,,,,,432.2,432.23,2117.7,2117.1,,164.0,,1.173,28.42,0.0,945.66,,,,241.9,7.1,11.2,100.7,241.0,38.547,-121.316
56129,,,,,,,,,,,432.3,,2120.7,163.5,163.5,,1.174,28.38,0.0,945.12,,,,243.6,7.8,11.8,101.1,244.0,38.547,-121.317
56130,,,,,,,,,,432.38,432.38,,2124.7,,160.5,1.174,1.174,28.35,0.0,944.64,,,,244.9,8.2,12.3,101.4,248.0,38.547,-121.318
56131,,,,,,,,,,,432.53,2126.9,2129.5,155.6,157.1,,1.17,28.32,0.0,943.76,,,,246.4,8.6,12.5,101.7,253.0,38.546,-121.318
56132,,,,,,,,,,432.74,432.68,,2135.4,,156.7,1.166,1.166,28.35,0.0,943.66,,,,248.2,9.0,12.9,101.4,257.0,38.546,-121.319
56133,,,,,,,,,,,432.83,2140.7,2140.7,,158.9,,1.165,28.36,0.0,943.26,,,,250.0,9.5,13.2,101.2,262.0,38.546,-121.319
56134,,,,,,,,,,,432.97,,2140.0,160.6,160.6,1.164,1.164,28.43,0.0,943.34,,,,251.3,9.9,12.0,100.4,268.0,38.546,-121.32
56135,,,,,,,,,,433.07,432.91,2139.2,2139.3,,160.9,,1.167,28.59,0.0,944.3,,,,252.8,10.9,11.8,98.5,273.0,38.546,-121.321
56136,,,,,,,,,,,432.42,,2131.2,161.2,161.2,,1.171,28.7,0.0,944.84,,,,254.0,11.7,11.7,97.3,280.0,38.546,-121.321
56137,,,,,,,,,,431.93,431.94,,2121.3,,162.6,1.175,1.176,28.78,0.0,944.62,,,,255.2,12.1,11.8,96.4,287.0,38.546,-121.322
56138,,,,,,,,,,,431.6,2116.0,2111.8,164.9,164.2,,1.182,28.93,0.0,944.54,,,,257.1,12.4,11.8,94.7,294.0,38.545,-121.323
56139,,,,,,,,,,431.16,431.27,,2102.8,,165.8,1.188,1.187,29.05,0.0,944.78,,,,259.3,12.6,12.5,93.4,301.0,38.545,-121.323
56140,,,,,,,,,,,430.59,2095.1,2092.3,,167.3,,1.191,29.17,0.0,945.34,,,,260.8,12.6,12.6,92.1,309.0,38.545,-121.324
56141,,,,,,,,,,,429.75,,2073.7,168.4,167.8,1.195,1.193,29.29,0.0,945.68,,,,262.4,12.5,12.5,90.6,316.0,38.545,-121.325
56142,,,,,,,,,,429.2,428.97,2051.7,2055.1,,165.2,,1.195,29.4,0.0,945.84,,,,264.6,12.3,13.2,89.3,323.0,38.545,-121.325
56143,,,,,,,,,,,428.31,,2037.9,162.4,162.6,,1.196,29.42,0.0,945.38,,,,267.0,11.3,14.3,89.0,329.0,38.545,-121.326
56144,,,,,,,,,,427.65,427.65,,2021.0,,163.8,1.196,1.195,29.46,0.0,944.68,,,,268.7,10.5,13.9,88.5,335.0,38.545,-121.326
56145,,,,,,,,,,,427.01,2012.5,2010.8,165.9,165.3,,1.192,29.59,0.0,945.56,,,,270.2,10.3,12.7,86.9,339.0,38.545,-121.327
56146,,,,,,,,,,426.19,426.38,,2007.3,,165.8,1.188,1.188,29.61,0.0,945.28,,,,271.5,9.5,11.8,86.8,344.0,38.545,-121.328
56147,,,,,,,,,,,426.16,2004.3,2004.4,,165.6,,1.187,29.64,0.0,944.88,,,,272.9,8.9,11.2,86.7,347.0,38.546,-121.328
56148,,,,,,,,,,,426.12,,2005.0,165.4,165.8,1.184,1.185,29.53,0.0,943.4,,,,274.1,7.5,12.5,88.2,350.0,38.546,-121.329
56149,,,,,,,,,,426.1,426.01,2005.7,2005.6,,167.4,,1.184,29.57,0.0,943.24,,,,275.7,7.1,13.9,88.0,352.0,38.546,-121.33
56150,,,,,,,,,,,425.74,,2006.0,169.2,169.1,,1.185,29.5,0.0,942.5,,,,278.5,6.7,14.3,89.1,353.0,38.546,-121.33
56151,,,,,,,,,,425.48,425.48,,2006.4,,169.1,1.185,1.186,29.51,0.0,942.88,,,,281.8,6.6,14.3,88.9,354.0,38.546,-121.331
56152,,,,,,,,,,,425.33,2006.5,2008.2,169.0,169.0,,1.189,29.46,0.0,942.48,,,,284.1,6.5,14.5,89.6,354.0,38.546,-121.331
56153,,,,,,,,,,425.15,425.19,,2011.6,,168.5,1.192,1.192,29.38,0.0,941.44,,,,286.1,6.3,14.4,90.6,355.0,38.546,-121.332
56154,,,,,,,,,,,425.0,2014.3,2014.6,,167.6,,1.196,29.34,0.0,941.02,,,,288.3,6.5,14.2,91.3,356.0,38.546,-121.333
56155,,,,,,,,,,,424.8,,2016.4,167.0,166.9,1.2,1.199,29.26,0.0,940.02,,,,290.6,6.2,14.1,92.5,357.0,38.547,-121.333
56156,,,,,,,,,,424.67,424.79,2018.4,2018.2,,166.7,,1.2,29.21,0.0,939.28,,,,292.7,6.2,14.2,93.2,358.0,38.547,-121.334
56157,,,,,,,,,,,425.09,,2019.4,166.5,166.5,,1.2,29.19,0.0,938.78,,,,295.0,6.4,14.1,93.8,359.0,38.547,-121.335
56158,,,,,,,,,,425.35,425.36,2020.9,2020.5,,168.2,1.2,1.201,29.13,0.0,937.98,,,,297.4,6.5,13.9,94.8,360.0,38.547,-121.335
56159,,,,,,,,,,,425.47,,2021.0,170.5,170.0,,1.202,29.13,0.0,937.36,,,,300.0,6.5,13.9,95.4,362.0,38.548,-121.336
56160,,,,,,,,,,425.61,425.59,,2021.1,,169.8,1.203,1.203,29.05,0.0,936.28,,,,302.6,6.4,14.4,96.5,364.0,38.548,-121.336
56161,,,,,,,,,,,425.2,2021.2,2021.0,,168.8,,1.205,29.1,0.0,936.2,,,,305.1,6.8,14.6,96.4,366.0,38.548,-121.337
56162,,,,,,,,,,424.43,424.68,,2020.4,168.2,168.1,1.206,1.206,29.1,0.0,936.2,,,,307.6,7.1,13.9,96.5,368.0,38.549,-121.337
56163,,,,,,,,,,,424.44,2019.9,2019.9,,167.8,,1.206,29.05,0.0,935.16,,,,309.6,6.9,14.3,97.3,370.0,38.549,-121.338
56164,,,,,,,,,,,424.44,,2017.6,167.6,167.5,,1.207,29.01,0.0,934.26,,,,311.7,6.4,14.3,97.9,373.0,38.549,-121.339
56165,,,,,,,,,,424.45,424.43,2014.5,2015.2,,167.1,1.207,1.207,29.03,0.0,934.0,,,,314.2,6.3,14.2,98.0,375.0,38.55,-121.339
56166,,,,,,,,,,,424.34,,2014.0,166.6,166.7,,1.206,29.01,0.0,933.7,,,,316.6,6.1,14.2,98.4,377.0,38.55,-121.34
56167,,,,,,,,,,424.24,424.25,,2013.3,,167.5,1.206,1.206,29.29,0.0,936.58,,,,320.4,5.8,14.9,95.4,380.0,38.551,-121.34
56168,,,,,,,,,,,424.33,2012.8,2012.7,,168.7,,1.206,29.34,0.0,936.58,,,,323.0,5.9,15.3,95.3,382.0,38.551,-121.34
56169,,,,,,,,,,424.5,424.45,,2012.4,169.3,168.8,1.206,1.206,29.15,0.0,934.22,,,,324.8,5.9,14.9,97.5,384.0,38.552,-121.341
56170,,,,,,,,,,,424.56,2012.1,2012.1,,167.8,,1.202,29.09,0.0,933.26,,,,327.2,5.8,14.8,98.4,386.0,38.552,-121.341
56171,,,,,,,,,,,424.67,,2012.3,166.9,166.8,,1.196,29.1,0.0,933.36,,,,329.9,5.8,14.8,98.2,388.0,38.553,-121.342
56172,,,,,,,,,,424.76,424.79,2012.7,2012.6,,165.9,1.193,1.191,29.11,0.0,933.44,,,,332.5,5.7,14.6,98.2,390.0,38.553,-121.342
56173,,,,,,,,,,,424.91,,2012.7,164.7,164.9,,1.187,29.14,0.0,933.2,,,,334.8,5.6,14.4,98.1,392.0,38.554,-121.342
56174,,,,,,,,,,425.05,425.03,,2012.8,,162.0,1.183,1.183,29.13,0.0,932.44,,,,337.0,5.7,14.0,98.6,394.0,38.554,-121.343
56175,,,,,,,,,,,425.15,2012.8,2013.0,,158.5,,1.176,29.14,0.0,932.2,,,,339.2,5.7,13.8,98.7,396.0,38.555,-121.343
56176,,,,,,,,,,425.34,425.28,,2013.4,156.6,156.6,1.169,1.17,29.15,0.0,932.22,,,,341.7,5.6,14.2,98.7,399.0,38.555,-121.343
56177,,,,,,,,,,,425.39,2013.7,2013.7,,156.5,,1.163,29.12,0.0,931.52,,,,344.1,5.5,14.8,99.3,401.0,38.556,-121.344
56178,,,,,,,,,,,425.48,,2014.4,156.5,156.4,,1.155,29.11,0.0,930.9,,,,346.5,5.5,15.2,99.7,403.0,38.556,-121.344
56179,,,,,,,,,,425.55,425.55,2015.2,2015.0,,155.9,1.15,1.148,29.11,0.0,930.56,,,,349.1,5.5,15.6,99.9,405.0,38.557,-121.344
56180,,,,,,,,,,,425.57,,2015.3,155.3,155.4,,1.142,29.13,0.0,930.52,,,,351.9,5.7,16.0,99.7,407.0,38.557,-121.344
56181,,,,,,,,,,425.59,425.58,,2015.4,,153.0,1.137,1.136,29.11,0.0,929.98,,,,354.5,5.7,15.9,100.1,410.0,38.558,-121.344
56182,,,,,,,,,,,425.41,2015.4,2016.2,,150.2,,1.132,29.13,0.0,929.86,,,,357.2,5.6,15.7,100.0,412.0,38.559,-121.344
56183,,,,,,,,,,425.13,425.21,,2018.2,148.8,149.2,1.126,1.127,29.14,0.0,929.68,,,,359.8,5.5,15.7,99.9,415.0,38.559,-121.344
56184,,,,,,,,,,,425.08,2020.0,2020.0,,149.8,,1.125,29.17,0.0,929.68,,,,2.2,5.5,14.2,99.6,417.0,38.56,-121.344
56185,,,,,,,,,,,424.98,,2020.3,150.3,150.5,,1.124,29.13,0.0,928.92,,,,4.4,5.6,14.4,100.2,419.0,38.56,-121.344
56186,,,,,,,,,,424.91,424.88,2020.6,2020.6,,151.5,1.123,1.121,29.05,0.0,927.8,,,,6.5,5.7,14.1,101.1,422.0,38.561,-121.344
56187,,,,,,,,,,,424.79,,2020.9,152.7,152.5,,1.119,29.18,0.0,929.06,,,,9.2,5.6,11.1,99.6,424.0,38.561,-121.344
56188,,,,,,,,,,424.68,424.69,,2021.2,,151.5,1.116,1.116,29.32,0.0,930.56,,,,11.5,5.3,8.6,98.1,427.0,38.562,-121.344
56189,,,,,,,,,,,424.57,2021.4,2021.2,,150.0,,1.116,29.42,0.0,931.14,,,,12.8,5.4,4.8,97.2,429.0,38.563,-121.344
56190,,,,,,,,,,424.39,424.44,,2020.7,149.3,149.1,1.115,1.115,29.39,0.0,930.62,,,,12.9,5.6,1.4,97.5,431.0,38.563,-121.344
56191,,,,,,,,,,,424.42,2020.3,2020.3,,148.8,,1.114,29.25,0.0,928.46,,,,12.3,6.1,1.1,99.3,434.0,38.564,-121.344
56192,,,,,,,,,,,424.47,,2019.8,148.5,148.5,,1.112,29.2,0.0,927.68,,,,12.3,6.5,0.3,99.8,437.0,38.564,-121.344
56193,,,,,,,,,,424.5,424.54,2019.1,2019.2,,148.6,1.111,1.111,29.31,0.0,928.58,,,,12.9,6.6,0.4,98.6,440.0,38.565,-121.344
56194,,,,,,,,,,,424.66,,2016.3,148.7,148.7,,1.112,29.34,0.0,928.28,,,,13.0,6.4,0.8,98.3,443.0,38.565,-121.343
56195,,,,,,,,,,424.8,424.79,,2012.4,,148.4,1.112,1.112,29.29,0.0,927.18,,,,12.8,6.3,1.0,99.0,446.0,38.566,-121.343
56196,,,,,,,,,,,424.73,2010.1,2008.7,147.8,148.0,,1.112,29.32,0.0,927.02,,,,13.0,6.2,1.1,98.8,449.0,38.567,-121.343
56197,,,,,,,,,,424.62,424.65,,2005.1,,149.9,1.111,1.111,29.39,0.0,927.38,,,,13.5,6.0,1.3,98.1,452.0,38.567,-121.343
56198,,,,,,,,,,,424.5,2001.8,2001.7,,153.8,,1.117,29.42,0.0,927.12,,,,13.8,5.8,1.7,98.1,455.0,38.568,-121.343
56199,,,,,,,,,,,424.29,,2000.1,156.9,156.7,1.128,1.125,29.39,0.0,926.42,,,,14.0,5.9,2.0,98.5,458.0,38.568,-121.343
56200,,,,,,,,,,424.14,424.06,1998.2,1998.6,,155.5,,1.129,29.37,0.0,925.96,,,,14.2,6.3,1.9,98.8,460.0,38.569,-121.343
56201,,,,,,,,,,,423.78,,1998.1,154.2,154.4,,1.13,29.35,0.0,925.42,,,,14.5,6.3,1.7,99.1,463.0,38.569,-121.343
56202,,,,,,,,,,423.49,423.5,,1997.9,,155.5,1.131,1.132,29.42,0.0,925.58,,,,14.9,6.4,1.1,98.5,466.0,38.57,-121.342
56203,,,,,,,,,,,423.33,1997.7,1997.5,157.6,157.0,,1.14,29.47,0.0,925.54,,,,15.1,6.5,0.5,98.1,469.0,38.571,-121.342
56204,,,,,,,,,,423.11,423.17,,1997.0,,158.6,1.149,1.148,29.46,0.0,925.18,,,,15.0,6.6,0.1,98.3,473.0,38.571,-121.342
56205,,,,,,,,,,,423.09,1996.5,1996.3,,160.4,,1.151,29.5,0.0,924.82,,,,15.0,7.0,-0.2,98.1,476.0,38.572,-121.342
56206,,,,,,,,,,,423.07,,1995.1,161.8,161.4,1.155,1.154,29.51,0.0,924.5,,,,14.8,7.3,-0.3,98.1,479.0,38.572,-121.342
56207,,,,,,,,,,423.05,423.06,1993.6,1993.8,,159.5,,1.154,29.56,0.0,924.38,,,,14.5,7.5,-0.4,97.8,483.0,38.573,-121.342
56208,,,,,,,,,,,423.09,,1993.3,157.5,157.6,,1.151,29.57,0.0,923.96,,,,14.3,7.6,-0.7,97.7,487.0,38.573,-121.341
56209,,,,,,,,,,423.12,423.12,,1992.9,,157.6,1.149,1.15,29.68,0.0,924.32,,,,14.3,7.8,-0.9,96.6,491.0,38.574,-121.341
56210,,,,,,,,,,,423.06,1992.7,1992.0,157.9,157.8,,1.152,29.73,0.0,924.6,,,,14.1,8.0,-0.9,96.1,496.0,38.575,-121.341
56211,,,,,,,,,,422.97,423.0,,1990.4,,158.2,1.153,1.153,29.79,0.0,924.28,,,,13.7,8.2,-0.7,96.0,500.0,38.575,-121.341
56212,,,,,,,,,,,423.08,1989.0,1989.0,,158.7,,1.151,29.79,0.0,923.14,,,,13.2,8.4,-0.4,96.3,504.0,38.576,-121.341
56213,,,,,,,,,,,423.24,,1988.5,159.1,157.1,1.148,1.149,29.81,0.0,922.82,,,,13.0,8.2,-0.2,96.2,509.0,38.576,-121.341
56214,,,,,,,,,,423.35,422.99,1987.9,1988.0,,149.1,,1.143,29.86,0.0,922.68,,,,13.1,8.2,-0.2,95.6,513.0,38.577,-121.34
56215,,,,,,,,,,,421.91,,1993.3,140.3,141.0,,1.134,29.93,0.0,922.96,,,,13.2,8.1,-0.2,94.9,518.0,38.577,-121.34
