TO_Time_UTC, jNO2_up, jNO2_down, jNO2_total, NO_ppbv, NO2_ppbv, NOy_ppbv, O3_ppbv, NOx_ppbv, Ox_ppbv, CO2_ppm, CO2_i_ppm, CH4_ppb, CH4_i_ppb, CO_ppb, CO_i_ppb, H2O_pct, H2O_i_pct, AmbTemp, RelHumidity, StaticPrs, VertWindSpd, WindDir, WindSpd, Heading, Pitch, Roll, TrueAirSpd, GPSAlt, GPSLat, GPSLon
56040,,,,,,,,,,,,1977.9,1977.9,,,,,,,,,,,,,,,,,
56041,,,,,,,,,,465.06,465.24,,1977.4,346.8,345.4,1.234,1.235,,,,,,,,,,,,,
56042,,,,,,,,,,,465.02,1977.0,1977.0,,342.4,,1.234,,,,,,,,,,,,,
56043,,,,,,,,,,,464.95,,1976.5,339.9,339.1,,1.235,,,,,,,,,,,,,
56044,,,,,,,,,,464.9,464.71,1975.9,1976.1,,334.3,1.235,1.235,,,,,,,,,,,,,
56045,,,,,,,,,,,463.88,,1975.8,328.6,329.5,,1.234,,,,,,,,,,,,,
56046,,,,,,,,,,462.98,463.04,,1975.7,,333.4,1.233,1.233,,,,,,,,,,,,,
56047,,,,,,,,,,,463.17,1975.6,1975.8,,339.1,,1.234,,,,,,,,,,,,,
56048,,,,,,,,,,463.46,463.37,,1976.2,341.9,342.3,1.236,1.235,,,,,,,,,,,,,
56049,,,,,,,,,,,463.31,1976.7,1976.6,,343.2,,1.237,,,,,,,,,,,,,
56050,,,,,,,,,,,463.03,,1976.3,343.8,342.6,1.239,1.238,,,,,,,,,,,,,
56051,,,,,,,,,,462.84,462.75,1975.9,1976.0,,335.5,,1.238,,,,,,,,,,,,,
56052,,,,,,,,,,,462.43,,1975.9,327.5,328.3,,1.236,,,,,,,,,,,,,
56053,,,,,,,,,,462.1,462.12,,1975.9,,330.5,1.234,1.234,,,,,,,,,,,,,
56054,,,,,,,,,,,462.14,1975.9,1975.7,335.6,334.0,,1.236,,,,,,,,,,,,,
56055,,,,,,,,,,462.2,462.19,,1975.3,,337.8,1.238,1.237,,,,,,,,,,,,,
56056,,,,,,,,,,,462.2,1975.0,1975.0,,341.9,,1.238,,,,,,,,,,,,,
56057,,,,,,,,,,,462.21,,1975.2,344.9,344.6,1.24,1.239,,,,,,,,,,,,,
56058,,,,,,,,,,462.21,462.23,1975.5,1975.5,,343.3,,1.24,,,,,,,,,,,,,
56059,,,,,,,,,,,462.31,,1975.3,342.0,342.1,,1.241,,,,,,,,,,,,,
56060,,,,,,,,,,462.38,462.4,,1975.1,,343.2,1.241,1.241,,,,,,,,,,,,,
56061,,,,,,,,,,,463.06,1975.0,1975.1,345.0,344.5,,1.239,,,,,,,,,,,,,
56062,,,,,,,,,,463.95,463.73,,1975.5,,343.0,1.238,1.238,,,,,,,,,,,,,
56063,,,,,,,,,,,463.6,1975.7,1975.7,,339.6,,1.237,,,,,,,,,,,,,
56064,,,,,,,,,,,463.08,,1975.4,337.2,337.1,1.236,1.237,,,,,,,,,,,,,
56065,,,,,,,,,,462.75,462.63,1975.1,1975.2,,337.1,,1.237,,,,,,,,,,,,,
