GPSLat,GPSLon,GPSAlt,AmbTemp,CO2_ppm_zscore,CH4_ppb_zscore,CO_ppb_zscore,H2O_pct_zscore,NO_ppbv_zscore,NO2_ppbv_zscore,NOy_ppbv_zscore,O3_ppbv_zscore,NOx_ppbv_zscore,Ox_ppbv_zscore
38.555,-121.301,86.11,,1.5090450378623177,1.9006074866812088,,,0.04101843285953166,1.1028578353748109,-0.5834268073751417,1.3545586372084206,0.6303321015539759,1.369770577263664
38.555,-121.301,96.87,,,,2.1036299027650167,,-1.3919925059395182,0.784866168037789,0.030456842094719397,1.3038497697607345,-1.1722517567256645,1.3150850077016736
38.555,-121.302,111.33,,1.3810295646816666,1.9626916852906897,,1.5005612551844372,-1.1285713774838106,-0.6006689539306636,0.2686803478591432,1.3733846838057644,-1.6048718827127781,1.3661248726261976
38.554,-121.302,114.14,,,,2.2006792369570554,,-0.6122659657106235,-0.9640880023158314,-0.7666756579631601,1.2907929955077377,-1.2083034338912575,1.2786279613270142
38.554,-121.303,126.96,,1.4021144661467138,,,1.5254617102566321,1.1579240175117325,-0.7369510970751016,-0.42766528437532625,1.3047607074993157,0.9307627446005826,1.2956412496351881
38.554,-121.303,135.02,,,1.8655164179019377,,,-0.7703186427840482,-1.4183618127972912,-0.06116758319928981,1.1620471284549314,-1.640923559878371,1.1437368897407705
38.554,-121.303,140.09,,,,2.2834566102385003,1.5112328787868066,-3.1094982634707327,-0.4416731202621526,0.4702540835059632,1.1319861830817535,-3.7799897383702112,1.1267236014325965
38.553,-121.304,152.39,,1.3915720154141902,1.881712295800061,,,-1.6448767892569978,0.05802807126745319,-1.2064728993744038,1.1465611868990506,-1.8452163971500637,1.1479902118178151
38.553,-121.304,157.14,,,,1.9751822545696718,,0.9366502696089379,-1.1003701454602695,0.09459393980052572,1.0800627319826264,0.47410816716974047,1.0659618574748286
38.553,-121.305,169.01,,1.4307296895635662,2.022076570917152,,1.5219045023891753,0.23068164534764124,-0.3053909771177147,-1.2522851120214085,1.044536160177959,0.08955694407008373,1.041049542452144
38.553,-121.305,170.85,,,,2.229223158778243,,-1.0758871517926691,0.784866168037789,-0.42766528437532625,1.0011147946389227,-0.8117349850697365,1.0121877140722049
